transactions,item,date,time,month,day,period_day,weekday_weekend
40,Tartine,2/11/2016,17:58:00,November,Wednesday,evening,weekend
40,Coffee,2/11/2016,18:58:00,November,Wednesday,evening,weekend
40,Muffin,2/11/2016,19:58:00,November,Wednesday,evening,weekend
41,Scandinavian,2/11/2016,20:58:00,November,Wednesday,evening,weekend
42,Bread,2/11/2016,21:58:00,November,Wednesday,night,weekend
42,Tea,2/11/2016,22:58:00,November,Wednesday,night,weekend
43,Scandinavian,2/11/2016,23:58:00,November,Wednesday,night,weekend
43,Fudge,3/11/2016,0:58:00,November,Thursday,night,weekend
44,Coffee,3/11/2016,1:58:00,November,Thursday,night,weekend
44,Medialuna,3/11/2016,2:58:00,November,Thursday,night,weekend
45,Coffee,3/11/2016,3:58:00,November,Thursday,night,weekend
45,Hot chocolate,3/11/2016,4:58:00,November,Thursday,night,weekend
45,Medialuna,3/11/2016,5:58:00,November,Thursday,morning,weekend
46,Coffee,3/11/2016,6:58:00,November,Thursday,morning,weekend
47,Juice,3/11/2016,8:58:00,November,Thursday,morning,weekend
47,Bread,3/11/2016,9:58:00,November,Thursday,morning,weekend
47,Muffin,3/11/2016,10:58:00,November,Thursday,morning,weekend
47,Jam,3/11/2016,11:58:00,November,Thursday,morning,weekend
48,Coffee,3/11/2016,12:58:00,November,Thursday,afternoon,weekend
49,Coffee,3/11/2016,13:58:00,November,Thursday,afternoon,weekend
49,Coffee,3/11/2016,14:58:00,November,Thursday,afternoon,weekend
49,Medialuna,3/11/2016,15:58:00,November,Thursday,afternoon,weekend
50,Bread,3/11/2016,16:58:00,November,Thursday,afternoon,weekend
50,Victorian Sponge,3/11/2016,17:58:00,November,Thursday,evening,weekend
51,Bread,3/11/2016,18:58:00,November,Thursday,evening,weekend
52,Scandinavian,3/11/2016,19:58:00,November,Thursday,evening,weekend
54,Bread,3/11/2016,20:58:00,November,Thursday,evening,weekend
55,Frittata,3/11/2016,21:58:00,November,Thursday,night,weekend
55,Coffee,3/11/2016,22:58:00,November,Thursday,night,weekend
55,Tea,3/11/2016,23:58:00,November,Thursday,night,weekend
55,Hearty & Seasonal,4/11/2016,0:58:00,November,Friday,night,weekend
56,Coffee,4/11/2016,1:58:00,November,Friday,night,weekend
56,Frittata,4/11/2016,2:58:00,November,Friday,night,weekend
57,Scandinavian,4/11/2016,3:58:00,November,Friday,night,weekend
58,Victorian Sponge,4/11/2016,4:58:00,November,Friday,night,weekend
58,Hot chocolate,4/11/2016,5:58:00,November,Friday,morning,weekend
58,Tea,4/11/2016,6:58:00,November,Friday,morning,weekend
58,Soup,4/11/2016,7:58:00,November,Friday,morning,weekend
59,Tea,4/11/2016,8:58:00,November,Friday,morning,weekend
60,Cookies,4/11/2016,9:58:00,November,Friday,morning,weekend
60,Coffee,4/11/2016,10:58:00,November,Friday,morning,weekend
60,Juice,4/11/2016,11:58:00,November,Friday,morning,weekend
60,Coffee,4/11/2016,12:58:00,November,Friday,afternoon,weekend
61,Coffee,4/11/2016,13:58:00,November,Friday,afternoon,weekend
62,Pick and Mix Bowls,4/11/2016,14:58:00,November,Friday,afternoon,weekend
62,Hearty & Seasonal,4/11/2016,15:58:00,November,Friday,afternoon,weekend
62,Hearty & Seasonal,4/11/2016,16:58:00,November,Friday,afternoon,weekend
62,Coffee,4/11/2016,17:58:00,November,Friday,evening,weekend
62,Smoothies,4/11/2016,18:58:00,November,Friday,evening,weekend
62,Coffee,4/11/2016,19:58:00,November,Friday,evening,weekend
63,Coffee,4/11/2016,20:58:00,November,Friday,evening,weekend
64,Cake,4/11/2016,21:58:00,November,Friday,night,weekend
65,Tartine,4/11/2016,22:58:00,November,Friday,night,weekend
65,Mighty Protein,4/11/2016,23:58:00,November,Friday,night,weekend
65,Tea,5/11/2016,0:58:00,November,Saturday,night,weekend
65,Coffee,5/11/2016,1:58:00,November,Saturday,night,weekend
66,Hearty & Seasonal,5/11/2016,2:58:00,November,Saturday,night,weekend
66,Frittata,5/11/2016,3:58:00,November,Saturday,night,weekend
66,Mineral water,5/11/2016,4:58:00,November,Saturday,night,weekend
67,Hearty & Seasonal,5/11/2016,5:58:00,November,Saturday,morning,weekend
67,Mineral water,5/11/2016,6:58:00,November,Saturday,morning,weekend
67,Muffin,5/11/2016,7:58:00,November,Saturday,morning,weekend
68,Frittata,5/11/2016,8:58:00,November,Saturday,morning,weekend
68,Coffee,5/11/2016,9:58:00,November,Saturday,morning,weekend
68,Tea,5/11/2016,10:58:00,November,Saturday,morning,weekend
68,Scandinavian,5/11/2016,11:58:00,November,Saturday,morning,weekend
68,Chicken sand,5/11/2016,12:58:00,November,Saturday,afternoon,weekend
69,Bread,5/11/2016,13:58:00,November,Saturday,afternoon,weekend
69,Tea,5/11/2016,14:58:00,November,Saturday,afternoon,weekend
69,Victorian Sponge,5/11/2016,15:58:00,November,Saturday,afternoon,weekend
70,Fudge,5/11/2016,16:58:00,November,Saturday,afternoon,weekend
71,Muffin,5/11/2016,17:58:00,November,Saturday,evening,weekend
72,Coffee,5/11/2016,18:58:00,November,Saturday,evening,weekend
72,Bread,5/11/2016,19:58:00,November,Saturday,evening,weekend
73,Bread,5/11/2016,20:58:00,November,Saturday,evening,weekend
74,Coffee,5/11/2016,21:58:00,November,Saturday,night,weekend
74,Bread,5/11/2016,22:58:00,November,Saturday,night,weekend
75,Jam,5/11/2016,23:58:00,November,Saturday,night,weekend
75,Frittata,6/11/2016,0:58:00,November,Sunday,night,weekend
76,Coffee,6/11/2016,1:58:00,November,Sunday,night,weekend
77,Scandinavian,6/11/2016,2:58:00,November,Sunday,night,weekend
78,Fudge,6/11/2016,3:58:00,November,Sunday,night,weekend
79,Fudge,6/11/2016,4:58:00,November,Sunday,night,weekend
79,Tea,6/11/2016,5:58:00,November,Sunday,morning,weekend
79,Coffee,6/11/2016,6:58:00,November,Sunday,morning,weekend
79,Muffin,6/11/2016,7:58:00,November,Sunday,morning,weekend
80,Frittata,6/11/2016,8:58:00,November,Sunday,morning,weekend
80,Bread,6/11/2016,9:58:00,November,Sunday,morning,weekend
80,Coffee,6/11/2016,10:58:00,November,Sunday,morning,weekend
81,Coffee,6/11/2016,11:58:00,November,Sunday,morning,weekday
81,Cake,6/11/2016,12:58:00,November,Sunday,afternoon,weekday
82,Tartine,6/11/2016,13:58:00,November,Sunday,afternoon,weekday
82,Bread,6/11/2016,14:58:00,November,Sunday,afternoon,weekday
83,Coffee,6/11/2016,15:58:00,November,Sunday,afternoon,weekday
83,Bread,6/11/2016,16:58:00,November,Sunday,afternoon,weekday
84,Bread,6/11/2016,17:58:00,November,Sunday,evening,weekday
85,Coffee,6/11/2016,18:58:00,November,Sunday,evening,weekday
85,Coffee,6/11/2016,19:58:00,November,Sunday,evening,weekday
85,Pastry,6/11/2016,20:58:00,November,Sunday,evening,weekday
85,Medialuna,6/11/2016,21:58:00,November,Sunday,night,weekday
86,Juice,6/11/2016,22:58:00,November,Sunday,night,weekday
87,Bread,6/11/2016,23:58:00,November,Sunday,night,weekday
88,Coffee,7/11/2016,0:58:00,November,Monday,night,weekday
88,Coffee,7/11/2016,1:58:00,November,Monday,night,weekday
88,Jam,7/11/2016,2:58:00,November,Monday,night,weekday
89,Bread,7/11/2016,3:58:00,November,Monday,night,weekday
90,Bread,7/11/2016,4:58:00,November,Monday,night,weekday
90,Coffee,7/11/2016,5:58:00,November,Monday,morning,weekday
91,Tea,7/11/2016,6:58:00,November,Monday,morning,weekday
92,Coffee,7/11/2016,7:58:00,November,Monday,morning,weekday
93,Bread,7/11/2016,8:58:00,November,Monday,morning,weekday
93,Coke,7/11/2016,9:58:00,November,Monday,morning,weekday
94,Coffee,7/11/2016,10:58:00,November,Monday,morning,weekday
94,Coffee,7/11/2016,11:58:00,November,Monday,morning,weekday
95,Tea,7/11/2016,12:58:00,November,Monday,afternoon,weekday
95,Pastry,7/11/2016,13:58:00,November,Monday,afternoon,weekday
95,Farm House,7/11/2016,14:58:00,November,Monday,afternoon,weekday
96,Pastry,7/11/2016,15:58:00,November,Monday,afternoon,weekday
96,Pastry,7/11/2016,16:58:00,November,Monday,afternoon,weekday
96,Coffee,7/11/2016,17:58:00,November,Monday,evening,weekday
96,Juice,7/11/2016,18:58:00,November,Monday,evening,weekday
97,Coffee,7/11/2016,19:58:00,November,Monday,evening,weekday
97,Pastry,7/11/2016,20:58:00,November,Monday,evening,weekday
97,Juice,7/11/2016,21:58:00,November,Monday,night,weekday
98,Farm House,7/11/2016,22:58:00,November,Monday,night,weekday
99,Pastry,7/11/2016,23:58:00,November,Monday,night,weekday
99,Pastry,8/11/2016,0:58:00,November,Tuesday,night,weekday
99,Coffee,8/11/2016,1:58:00,November,Tuesday,night,weekday
99,Bread,8/11/2016,2:58:00,November,Tuesday,night,weekday
100,Bread,8/11/2016,3:58:00,November,Tuesday,night,weekday
101,Coffee,8/11/2016,4:58:00,November,Tuesday,night,weekday
101,Pastry,8/11/2016,5:58:00,November,Tuesday,morning,weekday
102,Farm House,8/11/2016,6:58:00,November,Tuesday,morning,weekday
103,Bread,8/11/2016,7:58:00,November,Tuesday,morning,weekday
104,Coffee,8/11/2016,8:58:00,November,Tuesday,morning,weekday
104,Coffee,8/11/2016,9:58:00,November,Tuesday,morning,weekday
104,Medialuna,8/11/2016,10:58:00,November,Tuesday,morning,weekday
104,Muffin,8/11/2016,11:58:00,November,Tuesday,morning,weekday
104,Coffee,8/11/2016,12:58:00,November,Tuesday,afternoon,weekday
105,Coffee,8/11/2016,13:58:00,November,Tuesday,afternoon,weekday
105,Tea,8/11/2016,14:58:00,November,Tuesday,afternoon,weekday
105,Cake,8/11/2016,15:58:00,November,Tuesday,afternoon,weekday
106,Coffee,8/11/2016,16:58:00,November,Tuesday,afternoon,weekday
106,Coffee,8/11/2016,17:58:00,November,Tuesday,evening,weekday
106,Pastry,8/11/2016,18:58:00,November,Tuesday,evening,weekday
106,Pastry,8/11/2016,19:58:00,November,Tuesday,evening,weekday
107,Coffee,8/11/2016,20:58:00,November,Tuesday,evening,weekday
107,Tea,8/11/2016,21:58:00,November,Tuesday,night,weekday
108,Farm House,8/11/2016,22:58:00,November,Tuesday,night,weekday
108,Muffin,8/11/2016,23:58:00,November,Tuesday,night,weekday
109,Bread,9/11/2016,0:58:00,November,Wednesday,night,weekday
109,Muffin,9/11/2016,1:58:00,November,Wednesday,night,weekday
109,Pastry,9/11/2016,2:58:00,November,Wednesday,night,weekday
110,Pastry,9/11/2016,3:58:00,November,Wednesday,night,weekday
111,Coffee,9/11/2016,4:58:00,November,Wednesday,night,weekday
112,Coffee,9/11/2016,5:58:00,November,Wednesday,morning,weekday
113,Coffee,9/11/2016,6:58:00,November,Wednesday,morning,weekday
113,Cake,9/11/2016,7:58:00,November,Wednesday,morning,weekday
114,Farm House,9/11/2016,8:58:00,November,Wednesday,morning,weekday
115,Bread,9/11/2016,9:58:00,November,Wednesday,morning,weekday
116,Coffee,9/11/2016,10:58:00,November,Wednesday,morning,weekday
117,Cookies,9/11/2016,11:58:00,November,Wednesday,morning,weekday
117,Cake,9/11/2016,12:58:00,November,Wednesday,afternoon,weekday
117,Coffee,9/11/2016,13:58:00,November,Wednesday,afternoon,weekday
117,My-5 Fruit Shoot,9/11/2016,14:58:00,November,Wednesday,afternoon,weekday
118,Cookies,9/11/2016,15:58:00,November,Wednesday,afternoon,weekday
118,Cookies,9/11/2016,16:58:00,November,Wednesday,afternoon,weekday
118,Tea,9/11/2016,17:58:00,November,Wednesday,evening,weekday
118,Pastry,9/11/2016,18:58:00,November,Wednesday,evening,weekday
119,Coffee,9/11/2016,19:58:00,November,Wednesday,evening,weekday
119,Coffee,9/11/2016,20:58:00,November,Wednesday,evening,weekday
119,Muffin,9/11/2016,21:58:00,November,Wednesday,night,weekday
120,Farm House,9/11/2016,22:58:00,November,Wednesday,night,weekday
121,Coffee,9/11/2016,23:58:00,November,Wednesday,night,weekday
121,Bread,10/11/2016,0:58:00,November,Thursday,night,weekday
122,Cookies,10/11/2016,1:58:00,November,Thursday,night,weekday
123,Jam,10/11/2016,2:58:00,November,Thursday,night,weekday
123,Coffee,10/11/2016,3:58:00,November,Thursday,night,weekday
123,Coffee,10/11/2016,4:58:00,November,Thursday,night,weekday
123,Juice,10/11/2016,5:58:00,November,Thursday,morning,weekday
124,Coffee,10/11/2016,6:58:00,November,Thursday,morning,weekday
124,Soup,10/11/2016,7:58:00,November,Thursday,morning,weekday
125,Tea,10/11/2016,8:58:00,November,Thursday,morning,weekday
126,Coffee,10/11/2016,9:58:00,November,Thursday,morning,weekday
126,Jam,10/11/2016,10:58:00,November,Thursday,morning,weekday
127,Farm House,10/11/2016,11:58:00,November,Thursday,morning,weekday
128,Tartine,10/11/2016,12:58:00,November,Thursday,afternoon,weekday
128,Coffee,10/11/2016,13:58:00,November,Thursday,afternoon,weekday
128,Tea,10/11/2016,14:58:00,November,Thursday,afternoon,weekday
129,Coffee,10/11/2016,15:58:00,November,Thursday,afternoon,weekday
129,Coffee,10/11/2016,16:58:00,November,Thursday,afternoon,weekday
129,Cake,10/11/2016,17:58:00,November,Thursday,evening,weekday
130,Coffee,10/11/2016,18:58:00,November,Thursday,evening,weekday
130,Coffee,10/11/2016,19:58:00,November,Thursday,evening,weekday
130,Muffin,10/11/2016,20:58:00,November,Thursday,evening,weekday
131,Bread,10/11/2016,21:58:00,November,Thursday,night,weekday
131,Coffee,10/11/2016,22:58:00,November,Thursday,night,weekday
132,Tea,10/11/2016,23:58:00,November,Thursday,night,weekday
132,Juice,11/11/2016,0:58:00,November,Friday,night,weekday
132,Pick and Mix Bowls,11/11/2016,1:58:00,November,Friday,night,weekday
132,Cookies,11/11/2016,2:58:00,November,Friday,night,weekday
133,Hearty & Seasonal,11/11/2016,3:58:00,November,Friday,night,weekday
133,Soup,11/11/2016,4:58:00,November,Friday,night,weekday
134,Hearty & Seasonal,11/11/2016,5:58:00,November,Friday,morning,weekday
134,Tea,11/11/2016,6:58:00,November,Friday,morning,weekday
134,Farm House,11/11/2016,7:58:00,November,Friday,morning,weekday
135,Bread,11/11/2016,8:58:00,November,Friday,morning,weekday
136,Tea,11/11/2016,9:58:00,November,Friday,morning,weekday
136,Soup,11/11/2016,10:58:00,November,Friday,morning,weekday
137,Farm House,11/11/2016,11:58:00,November,Friday,morning,weekday
138,Soup,11/11/2016,12:58:00,November,Friday,afternoon,weekday
138,Hearty & Seasonal,11/11/2016,13:58:00,November,Friday,afternoon,weekday
138,Coffee,11/11/2016,14:58:00,November,Friday,afternoon,weekday
139,Bread,11/11/2016,15:58:00,November,Friday,afternoon,weekday
139,Muffin,11/11/2016,16:58:00,November,Friday,afternoon,weekday
139,Hearty & Seasonal,11/11/2016,17:58:00,November,Friday,evening,weekday
140,Coffee,11/11/2016,18:58:00,November,Friday,evening,weekday
140,Coffee,11/11/2016,19:58:00,November,Friday,evening,weekday
140,Cookies,11/11/2016,20:58:00,November,Friday,evening,weekday
141,Bread,11/11/2016,21:58:00,November,Friday,night,weekday
142,Tea,11/11/2016,22:58:00,November,Friday,night,weekday
142,Muffin,11/11/2016,23:58:00,November,Friday,night,weekday
143,Tea,12/11/2016,0:58:00,November,Saturday,night,weekday
144,Soup,12/11/2016,1:58:00,November,Saturday,night,weekday
144,Hearty & Seasonal,12/11/2016,2:58:00,November,Saturday,night,weekday
145,Coffee,12/11/2016,3:58:00,November,Saturday,night,weekday
145,Tea,12/11/2016,4:58:00,November,Saturday,night,weekday
145,Focaccia,12/11/2016,5:58:00,November,Saturday,morning,weekday
146,Sandwich,12/11/2016,6:58:00,November,Saturday,morning,weekday
147,Tartine,12/11/2016,7:58:00,November,Saturday,morning,weekday
147,Coffee,12/11/2016,8:58:00,November,Saturday,morning,weekday
148,Fudge,12/11/2016,9:58:00,November,Saturday,morning,weekday
148,Coffee,12/11/2016,10:58:00,November,Saturday,morning,weekday
148,Coffee,12/11/2016,11:58:00,November,Saturday,morning,weekday
149,Coffee,12/11/2016,12:58:00,November,Saturday,afternoon,weekday
150,Bread,12/11/2016,13:58:00,November,Saturday,afternoon,weekday
151,Coke,12/11/2016,14:58:00,November,Saturday,afternoon,weekday
151,Soup,12/11/2016,15:58:00,November,Saturday,afternoon,weekday
152,Muffin,12/11/2016,16:58:00,November,Saturday,afternoon,weekday
153,Tea,12/11/2016,17:58:00,November,Saturday,evening,weekday
153,Coffee,12/11/2016,18:58:00,November,Saturday,evening,weekday
153,Cookies,12/11/2016,19:58:00,November,Saturday,evening,weekday
153,Muffin,12/11/2016,20:58:00,November,Saturday,evening,weekday
154,Mighty Protein,12/11/2016,21:58:00,November,Saturday,night,weekday
154,Hearty & Seasonal,12/11/2016,22:58:00,November,Saturday,night,weekday
154,Coffee,12/11/2016,23:58:00,November,Saturday,night,weekday
154,Coke,13/11/2016,0:58:00,November,Sunday,night,weekday
155,Tea,13/11/2016,1:58:00,November,Sunday,night,weekday
155,Muffin,13/11/2016,2:58:00,November,Sunday,night,weekday
155,Sandwich,13/11/2016,3:58:00,November,Sunday,night,weekday
156,Coffee,13/11/2016,4:58:00,November,Sunday,night,weekday
156,Muffin,13/11/2016,5:58:00,November,Sunday,morning,weekday
157,Coffee,13/11/2016,6:58:00,November,Sunday,morning,weekday
157,Bread,13/11/2016,7:58:00,November,Sunday,morning,weekday
158,Coffee,13/11/2016,8:58:00,November,Sunday,morning,weekday
158,Muffin,13/11/2016,9:58:00,November,Sunday,morning,weekday
159,Bread,13/11/2016,10:58:00,November,Sunday,morning,weekday
159,Hot chocolate,13/11/2016,11:58:00,November,Sunday,morning,weekday
159,Cookies,13/11/2016,12:58:00,November,Sunday,afternoon,weekday
160,Mineral water,13/11/2016,13:58:00,November,Sunday,afternoon,weekday
160,Muffin,13/11/2016,14:58:00,November,Sunday,afternoon,weekday
161,Tea,13/11/2016,15:58:00,November,Sunday,afternoon,weekday
162,Muffin,13/11/2016,16:58:00,November,Sunday,afternoon,weekday
163,Coffee,13/11/2016,17:58:00,November,Sunday,evening,weekday
163,Juice,13/11/2016,18:58:00,November,Sunday,evening,weekday
164,Coffee,13/11/2016,19:58:00,November,Sunday,evening,weekday
164,Muffin,13/11/2016,20:58:00,November,Sunday,evening,weekday
165,Tea,13/11/2016,21:58:00,November,Sunday,night,weekday
166,Coffee,13/11/2016,22:58:00,November,Sunday,night,weekday
166,Muffin,13/11/2016,23:58:00,November,Sunday,night,weekday
167,Sandwich,14/11/2016,0:58:00,November,Monday,night,weekday
167,Hearty & Seasonal,14/11/2016,1:58:00,November,Monday,night,weekday
167,Bread,14/11/2016,2:58:00,November,Monday,night,weekday
167,Mineral water,14/11/2016,3:58:00,November,Monday,night,weekday
168,Tea,14/11/2016,4:58:00,November,Monday,night,weekday
168,Coffee,14/11/2016,5:58:00,November,Monday,morning,weekday
169,Mineral water,14/11/2016,6:58:00,November,Monday,morning,weekday
170,Coffee,14/11/2016,7:58:00,November,Monday,morning,weekday
171,Soup,14/11/2016,8:58:00,November,Monday,morning,weekday
171,Tea,14/11/2016,9:58:00,November,Monday,morning,weekday
172,Bread,14/11/2016,10:58:00,November,Monday,morning,weekday
172,Coffee,14/11/2016,11:58:00,November,Monday,morning,weekday
173,Bread,14/11/2016,12:58:00,November,Monday,afternoon,weekday
173,Muffin,14/11/2016,13:58:00,November,Monday,afternoon,weekday
174,Coffee,14/11/2016,14:58:00,November,Monday,afternoon,weekday
175,Bread,14/11/2016,15:58:00,November,Monday,afternoon,weekday
176,Cookies,14/11/2016,16:58:00,November,Monday,afternoon,weekday
176,Coffee,14/11/2016,17:58:00,November,Monday,evening,weekday
178,Coffee,14/11/2016,18:58:00,November,Monday,evening,weekday
178,Pastry,14/11/2016,19:58:00,November,Monday,evening,weekday
179,Coffee,14/11/2016,20:58:00,November,Monday,evening,weekday
179,Pastry,14/11/2016,21:58:00,November,Monday,night,weekday
180,Jam,14/11/2016,22:58:00,November,Monday,night,weekday
180,Tea,14/11/2016,23:58:00,November,Monday,night,weekday
181,Tea,15/11/2016,0:58:00,November,Tuesday,night,weekday
181,Tea,15/11/2016,1:58:00,November,Tuesday,night,weekday
182,Pastry,15/11/2016,2:58:00,November,Tuesday,night,weekday
182,Pastry,15/11/2016,3:58:00,November,Tuesday,night,weekday
183,Pastry,15/11/2016,5:58:00,November,Tuesday,morning,weekday
184,Farm House,15/11/2016,6:58:00,November,Tuesday,morning,weekday
184,Tea,15/11/2016,7:58:00,November,Tuesday,morning,weekday
185,Tea,15/11/2016,8:58:00,November,Tuesday,morning,weekday
185,Victorian Sponge,15/11/2016,9:58:00,November,Tuesday,morning,weekday
186,Tea,15/11/2016,10:58:00,November,Tuesday,morning,weekday
186,Pastry,15/11/2016,11:58:00,November,Tuesday,morning,weekday
187,Bread,15/11/2016,12:58:00,November,Tuesday,afternoon,weekday
188,Coffee,15/11/2016,13:58:00,November,Tuesday,afternoon,weekday
189,Bread,15/11/2016,14:58:00,November,Tuesday,afternoon,weekday
189,Coffee,15/11/2016,15:58:00,November,Tuesday,afternoon,weekday
190,Coffee,15/11/2016,16:58:00,November,Tuesday,afternoon,weekday
190,Pastry,15/11/2016,17:58:00,November,Tuesday,evening,weekday
190,Pastry,15/11/2016,18:58:00,November,Tuesday,evening,weekday
191,Soup,15/11/2016,19:58:00,November,Tuesday,evening,weekday
191,Tea,15/11/2016,20:58:00,November,Tuesday,evening,weekday
192,Bread,15/11/2016,21:58:00,November,Tuesday,night,weekday
193,Coffee,15/11/2016,22:58:00,November,Tuesday,night,weekday
194,Bread,15/11/2016,23:58:00,November,Tuesday,night,weekday
194,Bread,16/11/2016,0:58:00,November,Wednesday,night,weekday
195,Bread,16/11/2016,1:58:00,November,Wednesday,night,weekday
195,Scandinavian,16/11/2016,2:58:00,November,Wednesday,night,weekday
196,Bread,16/11/2016,3:58:00,November,Wednesday,night,weekday
196,Cake,16/11/2016,4:58:00,November,Wednesday,night,weekday
196,Cookies,16/11/2016,5:58:00,November,Wednesday,morning,weekday
197,Coffee,16/11/2016,6:58:00,November,Wednesday,morning,weekday
197,Coffee,16/11/2016,7:58:00,November,Wednesday,morning,weekday
197,Tea,16/11/2016,8:58:00,November,Wednesday,morning,weekday
198,Coffee,16/11/2016,9:58:00,November,Wednesday,morning,weekday
